percent of us dwellings with electric power
1907 8.0
1912 15.9
1917 24.3
1920 34.7
1925 53.2
1930 68.2
1935 68
1940 78.7
1945 85
1950 95
1955 98.4

us population
1900 75944575
1910 91972266
1920 105710620
1930 122775046
1940 131669275
1950 150697361
1960 178464236

